round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
172,1.4811933040618896,0.2693965435028076,1.4635367393493652,0.2750786,1,sigmoid,categorical_crossentropy,0.1,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
428,1.395285725593567,0.37787356972694397,1.3322196006774902,0.4039515,1,sigmoid,categorical_crossentropy,0.1,18,None
173,1.4811087846755981,0.2693965435028076,1.4635366201400757,0.2750786,1,sigmoid,categorical_crossentropy,0.1,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
131,1.4811378717422485,0.2693965435028076,1.463538408279419,0.2750786,1,sigmoid,categorical_crossentropy,0.1,21,None
182,1.4810651540756226,0.2693965435028076,1.4635505676269531,0.2750786,1,sigmoid,categorical_crossentropy,0.1,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
116,1.4811320304870605,0.2693965435028076,1.4635206460952759,0.2750786,1,sigmoid,categorical_crossentropy,0.13,9,None
149,1.481134295463562,0.2693965435028076,1.463531255722046,0.2750786,1,sigmoid,categorical_crossentropy,0.13,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
441,1.4007978439331055,0.375,1.3301438093185425,0.40458015,1,sigmoid,categorical_crossentropy,0.13,12,None
160,1.4811294078826904,0.2693965435028076,1.4635318517684937,0.2750786,1,sigmoid,categorical_crossentropy,0.13,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
130,1.4811415672302246,0.2693965435028076,1.463531494140625,0.2750786,1,sigmoid,categorical_crossentropy,0.13,15,None
158,1.481127142906189,0.2693965435028076,1.463524580001831,0.2750786,1,sigmoid,categorical_crossentropy,0.13,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
202,1.4672664403915405,0.2693965435028076,1.441801905632019,0.2750786,1,sigmoid,categorical_crossentropy,0.13,18,None
157,1.4811326265335083,0.2693965435028076,1.463523507118225,0.2750786,1,sigmoid,categorical_crossentropy,0.13,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
438,1.415429949760437,0.3631465435028076,1.3199352025985718,0.40440053,1,sigmoid,categorical_crossentropy,0.13,21,None
158,1.4811345338821411,0.2693965435028076,1.463535189628601,0.2750786,1,sigmoid,categorical_crossentropy,0.13,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
706,0.1465945839881897,0.3462643623352051,0.14498302340507507,0.37081274,1,softmax,mean_squared_error,0.005,9,None
201,0.15283195674419403,0.2693965435028076,0.1521797925233841,0.2750786,1,softmax,mean_squared_error,0.005,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1505,0.14393730461597443,0.3739224076271057,0.1396738886833191,0.40718454,1,softmax,mean_squared_error,0.005,12,None
211,0.1528322994709015,0.2693965435028076,0.1521705985069275,0.2750786,1,softmax,mean_squared_error,0.005,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
548,0.1470232605934143,0.3415948152542114,0.14523714780807495,0.36775932,1,softmax,mean_squared_error,0.005,15,None
